patronos, ([CLS],patr,##ono,##s,[SEP])
premisas, ([CLS],premis,##a,##s,[SEP])
kilos, ([CLS],k,##ilo,##s,[SEP])
bebedores, ([CLS],bebe,##dore,##s,[SEP])
rumanos, ([CLS],rum,##ano,##s,[SEP])
mandatarios, ([CLS],manda,##tario,##s,[SEP])
negociadores, ([CLS],negociado,##re,##s,[SEP])
comicios, ([CLS],com,##icio,##s,[SEP])
sondeos, ([CLS],son,##deo,##s,[SEP])
insultos, ([CLS],insul,##to,##s,[SEP])
analistas, ([CLS],anal,##ista,##s,[SEP])
nexos, ([CLS],ne,##xo,##s,[SEP])
cautivos, ([CLS],cautiv,##o,##s,[SEP])
millares, ([CLS],milla,##re,##s,[SEP])
reformistas, ([CLS],reform,##ista,##s,[SEP])
uruguayas, ([CLS],uruguay,##a,##s,[SEP])
mejorías, ([CLS],mejor,##ía,##s,[SEP])
urnas, ([CLS],ur,##na,##s,[SEP])
injerencias, ([CLS],injer,##encia,##s,[SEP])
pollitos, ([CLS],pol,##lito,##s,[SEP])
desempleadas, ([CLS],desemple,##ada,##s,[SEP])
indefinidos, ([CLS],indefin,##ido,##s,[SEP])
retoques, ([CLS],reto,##que,##s,[SEP])
retrocesos, ([CLS],retroce,##so,##s,[SEP])
kilómetros, ([CLS],k,##ilómetro,##s,[SEP])
sables, ([CLS],sab,##le,##s,[SEP])
estamentos, ([CLS],estam,##ento,##s,[SEP])
aristas, ([CLS],ari,##sta,##s,[SEP])
tintes, ([CLS],tin,##te,##s,[SEP])
cortesanos, ([CLS],corte,##san,##o,##s,[SEP])
bajadas, ([CLS],baja,##da,##s,[SEP])
estridencias, ([CLS],estri,##dencia,##s,[SEP])
formalidades, ([CLS],formal,##idad,##es,[SEP])
cuartillas, ([CLS],cuar,##tilla,##s,[SEP])
vigilias, ([CLS],vigil,##ia,##s,[SEP])
vanidades, ([CLS],van,##idad,##es,[SEP])
cuitas, ([CLS],cui,##ta,##s,[SEP])
silvas, ([CLS],sil,##va,##s,[SEP])
tentativas, ([CLS],tenta,##tiva,##s,[SEP])
