reservas, ([CLS],reserva,##s,[SEP])
divisas, ([CLS],divis,##a,##s,[SEP])
dólares, ([CLS],dólar,##es,[SEP])
activos, ([CLS],activo,##s,[SEP])
permisos, ([CLS],permiso,##s,[SEP])
inmigrantes, ([CLS],inmi,##grante,##s,[SEP])
cálculos, ([CLS],cálculo,##s,[SEP])
empleos, ([CLS],empleo,##s,[SEP])
sectores, ([CLS],sector,##es,[SEP])
empresarios, ([CLS],empresario,##s,[SEP])
sindicatos, ([CLS],sindicato,##s,[SEP])
meses, ([CLS],mes,##es,[SEP])
comarcas, ([CLS],comarca,##s,[SEP])
provincias, ([CLS],provincia,##s,[SEP])
extranjeros, ([CLS],extranjero,##s,[SEP])
personas, ([CLS],persona,##s,[SEP])
accidentes, ([CLS],accidente,##s,[SEP])
riesgos, ([CLS],riesgo,##s,[SEP])
empresas, ([CLS],empresa,##s,[SEP])
cambios, ([CLS],cambio,##s,[SEP])
premios, ([CLS],premio,##s,[SEP])
proyectos, ([CLS],proyecto,##s,[SEP])
abogados, ([CLS],abogado,##s,[SEP])
gobiernos, ([CLS],gobierno,##s,[SEP])
estados, ([CLS],estado,##s,[SEP])
propuestas, ([CLS],propuesta,##s,[SEP])
compañías, ([CLS],compañía,##s,[SEP])
sistemas, ([CLS],sistema,##s,[SEP])
ordenadores, ([CLS],ordenador,##es,[SEP])
prácticas, ([CLS],práctica,##s,[SEP])
medidas, ([CLS],medida,##s,[SEP])
programas, ([CLS],programa,##s,[SEP])
fabricantes, ([CLS],fabricante,##s,[SEP])
consumidores, ([CLS],consumidor,##es,[SEP])
recursos, ([CLS],recurso,##s,[SEP])
tribunales, ([CLS],tribunal,##es,[SEP])
casos, ([CLS],caso,##s,[SEP])
amenazas, ([CLS],amenaza,##s,[SEP])
noticias, ([CLS],noticia,##s,[SEP])
diarios, ([CLS],diario,##s,[SEP])
peligros, ([CLS],peligro,##s,[SEP])
fondos, ([CLS],fondo,##s,[SEP])
bolsas, ([CLS],bolsa,##s,[SEP])
modelos, ([CLS],modelo,##s,[SEP])
normas, ([CLS],norma,##s,[SEP])
inversores, ([CLS],inversor,##es,[SEP])
operadores, ([CLS],operador,##es,[SEP])
pérdidas, ([CLS],pérdida,##s,[SEP])
horas, ([CLS],hora,##s,[SEP])
centrales, ([CLS],central,##es,[SEP])
puntos, ([CLS],punto,##s,[SEP])
agentes, ([CLS],agente,##s,[SEP])
parados, ([CLS],parado,##s,[SEP])
listas, ([CLS],lista,##s,[SEP])
demandantes, ([CLS],demandante,##s,[SEP])
servicios, ([CLS],servicio,##s,[SEP])
subsidios, ([CLS],subsidio,##s,[SEP])
retos, ([CLS],reto,##s,[SEP])
entrevistas, ([CLS],entrevista,##s,[SEP])
compromisos, ([CLS],compromiso,##s,[SEP])
contratos, ([CLS],contrato,##s,[SEP])
años, ([CLS],año,##s,[SEP])
licencias, ([CLS],licencia,##s,[SEP])
países, ([CLS],país,##es,[SEP])
jornadas, ([CLS],jornada,##s,[SEP])
principios, ([CLS],principio,##s,[SEP])
concursos, ([CLS],concurso,##s,[SEP])
periodistas, ([CLS],periodista,##s,[SEP])
clientes, ([CLS],cliente,##s,[SEP])
tecnologías, ([CLS],tecnología,##s,[SEP])
ciudadanos, ([CLS],ciudadano,##s,[SEP])
investigadores, ([CLS],investigador,##es,[SEP])
temas, ([CLS],tema,##s,[SEP])
acuerdos, ([CLS],acuerdo,##s,[SEP])
científicos, ([CLS],científico,##s,[SEP])
objetivos, ([CLS],objetivo,##s,[SEP])
beneficios, ([CLS],beneficio,##s,[SEP])
españoles, ([CLS],español,##es,[SEP])
representantes, ([CLS],representante,##s,[SEP])
resultados, ([CLS],resultado,##s,[SEP])
efectos, ([CLS],efecto,##s,[SEP])
ayudas, ([CLS],ayuda,##s,[SEP])
bancos, ([CLS],banco,##s,[SEP])
empleados, ([CLS],empleado,##s,[SEP])
finales, ([CLS],final,##es,[SEP])
costes, ([CLS],coste,##s,[SEP])
